Product Name,Current Inventory Level,Lead Time (in days),Sales Velocity (in units per day),Highest Sales Month,Supplier,Unit Cost,Reorder Point,Safety Stock,Festivals,Supplier Lead Time (in days),Category,Last Restock Date,Next Restock Date
"
Instant Pot Duo Plus",55,5,6,November,Instant Brands,100,30,5,Thanksgiving,7,Home Goods,2023-04-25,2023-05-10
"
Lenovo Yoga C940",40,10,4,July,Lenovo,1300,20,5,Summer Sale,14,Electronics,2023-04-28,2023-05-15
"
Amazon Kindle Paperwhite",30,7,4,October,Amazon,120,15,4,Halloween,9,Electronics,2023-04-30,2023-05-17
"
Vitamix Blender",20,7,3,December,Vitamix,400,10,3,Christmas,10,Home Goods,2023-04-23,2023-05-08
"
DJI Mavic Air 2",50,5,8,June,DJI,900,35,10,Summer Sale,7,Electronics,2023-04-26,2023-05-13
"
JBL Flip 5 Speaker",25,7,3,July,JBL,80,12,4,Summer Sale,9,Electronics,2023-04-30,2023-05-17
"
Samsung 27-inch Monitor",45,5,9,October,Samsung,300,20,5,Halloween,7,Electronics,2023-04-20,2023-05-05
"
Canon EOS R5",40,7,6,November,Canon,3500,25,8,Thanksgiving,9,Electronics,2023-04-23,2023-05-08
"
Nintendo Switch",30,7,5,December,Nintendo,300,20,6,Christmas,10,Electronics,2023-04-26,2023-05-13
"
Bose SoundLink Revolve",25,5,5,September,Bose,200,12,4,Back to School,7,Electronics,2023-04-25,2023-05-10
"
Keurig Coffee Maker",40,5,8,December,Keurig,100,20,5,Christmas,7,Home Goods,2023-04-30,2023-05-17
"
Sony Alpha a7 III",35,7,5,October,Sony,2000,25,6,Halloween,10,Electronics,2023-04-20,2023-05-05
"
LG 55-Inch NanoCell 4K Smart TV",20,5,3,September,ElectroTech Inc.,1299,15,5,,5,Electronics,2023-04-15,2023-05-15
"
Sony WF-1000XM4 Wireless Earbuds",30,4,4,December,Sound Solutions,279,10,5,Christmas LastDay,3,Electronics,2023-04-18,2023-05-18
"
Nike Air Jordan 1 Retro High OG Sneakers",30,5,2,July,Sneaker World,200,10,5,,7,Footwear,2023-04-15,2023-05-15
"
Lenovo Yoga C940 2-in-1 Laptop",10,10,1,October,ElectroTech Inc.,1399,5,3,Republic Day,7,Electronics,2023-04-18,2023-05-18
"
Garmin Forerunner 245 Music Smartwatch",20,5,3,September,Fitness Solutions,299,10,5,MerryChristmas,7,Electronics,2023-04-18,2023-05-18
"
Patagonia Women's Better Sweater Fleece Jacket",35,7,3,November,Outdoor Gear Inc.,139,15,5,,5,Apparel,2023-04-20,2023-05-20
"
Apple iPad Pro (11-inch)",25,7,2,August,ElectroTech Inc.,799,5,3,,7,Electronics,2023-04-18,2023-05-18
"
Samsung QLED 75-Inch 4K Smart TV",20,5,3,September,ElectroTech Inc.,2999,15,5,,5,Electronics,2023-04-15,2023-05-15
"
Sony WH-1000XM3 Wireless Noise-Canceling Headphones",30,4,4,December,Sound Solutions,299,10,5,Independence Day,3,Electronics,2023-04-18,2023-05-18
"
HP ENVY x360 Convertible Laptop",10,10,1,October,ElectroTech Inc.,999,5,3,,7,Electronics,2023-04-18,2023-05-18
"
JBL Xtreme 3 Portable Bluetooth Speaker",40,4,4,December,Sound Solutions,349,10,5,,3,Electronics,2023-04-15,2023-05-15
"
The North Face Men's Apex Bionic Jacket",35,7,3,November,Outdoor Gear Inc.,149,15,5,GudiPadwa,5,Apparel,2023-04-20,2023-05-20
"
Puma RS-X Cubed Sneakers",30,5,3,September,Puma Store,99,10,5,Independence Day,7,Shoes,2023-04-15,2023-05-15
"
Under Armour HOVR Sonic 4 Running Shoes",20,5,3,September,Under Armour Store,120,10,5,Dushhera,7,Shoes,2023-04-20,2023-05-20
"
Reebok Nano X1 Training Shoes",30,5,2,July,Reebok Store,130,10,5,Holi_Day,5,Shoes,2023-04-15,2023-05-15
"
Mizuno Wave Rider 25 Running Shoes",20,5,3,September,Mizuno Outlet,139,10,5,,7,Shoes,2023-04-18,2023-05-18
"
Nike Metcon 6 Training Shoes",35,7,3,November,Nike Official Store,150,15,5,Christmas LastDay,5,Shoes,2023-04-18,2023-05-18
"
Adidas Stan Smith Vegan Sneakers",40,4,4,December,Adidas Outlet,100,10,5,,3,Shoes,2023-04-15,2023-05-15
"
Puma Future Rider Sneakers",30,5,2,July,Puma Store,79,10,5,,7,Shoes,2023-04-18,2023-05-18
"
New Balance Fresh Foam X Vongo v5 Running Shoes",35,7,3,November,New Balance Outlet,129,15,5,GudiPadwa,5,Shoes,2023-04-20,2023-05-20
"
Nike React Infinity Run Flyknit 2 Running Shoes",25,7,2,August,Nike Official Store,159,5,3,,7,Shoes,2023-04-18,2023-05-18
"
Adidas SolarBoost 3 Running Shoes",40,5,4,October,Adidas Outlet,160,10,5,Republic Day,3,Shoes,2023-04-20,2023-05-20
"
Puma RS-Fast Heritage Sneakers",30,5,3,September,Puma Store,109,10,5,Holi_Day,7,Shoes,2023-04-15,2023-05-15
"
New Balance Fresh Foam 1080v12 Running Shoes",35,7,3,November,New Balance Outlet,159,15,5,,5,Shoes,2023-04-18,2023-05-18
"
Under Armour HOVR Machina 2 Running Shoes",20,5,3,September,Under Armour Store,150,10,5,Independence Day,7,Shoes,2023-04-20,2023-05-20
"
Brooks Glycerin 19 Running Shoes",40,4,4,December,Brooks Official Store,150,10,5,,3,Shoes,2023-04-15,2023-05-15
"
ASICS GT-2000 10 Running Shoes",25,7,2,August,ASICS Outlet,129,5,3,,7,Shoes,2023-04-18,2023-05-18
"
Reebok Nano X Cross Training Shoes",30,5,2,July,Reebok Store,129,10,5,GudiPadwa,5,Shoes,2023-04-15,2023-05-15
"
Mizuno Wave Sky Neo Running Shoes",20,5,3,September,Mizuno Outlet,159,10,5,,7,Shoes,2023-04-18,2023-05-18
"
Salomon XA Pro 3D V8 Trail Running Shoes",25,7,2,August,Salomon Store,140,5,3,,5,Shoes,2023-04-20,2023-05-20
"
Nike Free Metcon 4 Training Shoes",35,7,3,November,Nike Official Store,130,15,5,,5,Shoes,2023-04-18,2023-05-18
"
Puma Clyde Court Basketball Shoes",30,5,2,July,Puma Store,109,10,5,Republic Day,7,Shoes,2023-04-18,2023-05-18
"
New Balance FuelCell Rebel v2 Running Shoes",35,7,3,November,New Balance Outlet,129,15,5,Holi_Day,5,Shoes,2023-04-20,2023-05-20
"
Nike Air Zoom Structure 23 Running Shoes",30,7,3,September,Nike Official Store,139,10,5,,5,Shoes,2023-04-18,2023-05-18
"
Puma RS-2K Tech Sneakers",25,5,3,September,Puma Store,99,10,5,NewYearPeriod,7,Shoes,2023-04-15,2023-05-15
"
New Balance Fresh Foam 880v11 Running Shoes",40,7,3,November,New Balance Outlet,129,15,5,,5,Shoes,2023-04-18,2023-05-18
"
Under Armour Charged Pursuit 2 Running Shoes",20,5,3,September,Under Armour Store,80,10,5,Independence Day,7,Shoes,2023-04-20,2023-05-20
"
Brooks Adrenaline GTS 23 Running Shoes",35,4,4,December,Brooks Official Store,150,10,5,,3,Shoes,2023-04-15,2023-05-15
"
ASICS Gel-Cumulus 23 Running Shoes",30,7,2,August,ASICS Outlet,149,5,3,,7,Shoes,2023-04-18,2023-05-18
"
Reebok Zig Kinetica II Sneakers",25,5,2,July,Reebok Store,120,10,5,GudiPadwa,5,Shoes,2023-04-15,2023-05-15
"
Mizuno Wave Inspire 18 Running Shoes",40,7,3,November,Mizuno Outlet,139,15,5,Republic Day,7,Shoes,2023-04-18,2023-05-18
"
Salomon Sense Ride 4 Trail Running Shoes",30,5,2,August,Salomon Store,140,10,5,,5,Shoes,2023-04-20,2023-05-20
"
Nike Air Zoom Winflo 8 Running Shoes",35,7,3,November,Nike Official Store,120,15,5,Holi_Day,5,Shoes,2023-04-18,2023-05-18
"
Adidas Stan Smith Primegreen Sneakers",40,4,4,December,Adidas Outlet,100,10,5,,3,Shoes,2023-04-15,2023-05-15
"
Puma RS-X Mixtape Sneakers",30,5,2,July,Puma Store,89,10,5,,7,Shoes,2023-04-18,2023-05-18
"
New Balance Fresh Foam More v3 Running Shoes",35,7,3,November,New Balance Outlet,139,15,5,Christmas LastDay,5,Shoes,2023-04-20,
"
Tommy Hilfiger Men's Classic Fit Polo Shirt",50,5,8,July,Tommy Hilfiger Store,59,20,10,Independence Day,7,Shirts,2023-04-20,2023-05-20
"
Ralph Lauren Men's Custom Slim Fit T-Shirt",45,3,10,August,Ralph Lauren Outlet,49,15,8,,5,Shirts,2023-04-18,2023-05-18
"
Calvin Klein Men's Slim Fit Dress Shirt",60,5,7,September,Calvin Klein Store,79,25,12,GudiPadwa,7,Shirts,2023-04-15,2023-05-15
"
Hugo Boss Men's Regular Fit Oxford Shirt",55,4,9,October,Hugo Boss Official Store,89,20,10,,3,Shirts,2023-04-20,2023-05-20
"
Gucci Men's Logo Embroidered Polo Shirt",50,5,8,July,Gucci Store,249,20,10,,7,Shirts,2023-04-18,2023-05-18
"
Armani Exchange Men's Slim Fit V-Neck T-Shirt",40,3,10,August,Armani Exchange Outlet,39,15,8,Republic Day,5,Shirts,2023-04-15,2023-05-15
"
Versace Men's Medusa Head Print Shirt",55,4,9,October,Versace Outlet,179,20,10,,7,Shirts,2023-04-20,2023-05-20
"
Dolce & Gabbana Men's Floral Print Silk Shirt",50,5,8,July,Dolce & Gabbana Store,399,20,10,Holi_Day,3,Shirts,2023-04-18,2023-05-18
"
Burberry Men's Check Print Button-Up Shirt",45,3,10,August,Burberry Official Store,229,15,8,,5,Shirts,2023-04-15,2023-05-15
"
Prada Men's Striped Cotton Shirt",60,5,7,September,Prada Store,329,25,12,,7,Shirts,2023-04-20,2023-05-20
"
Louis Vuitton Men's Logo Print T-Shirt",55,4,9,October,Louis Vuitton Outlet,349,20,10,,3,Shirts,2023-04-15,2023-05-15
"
GAP Men's Classic Crewneck T-Shirt",50,5,8,July,GAP Store,19,20,10,NewYearPeriod,5,Shirts,2023-04-18,2023-05-18
"
Banana Republic Men's Slim-Fit Shirt",45,3,10,August,Banana Republic Outlet,79,15,8,,7,Shirts,2023-04-15,2023-05-15
"
H&M Men's Slim Fit Plaid Shirt",50,5,8,July,H&M Store,29,20,10,,5,Shirts,2023-04-18,2023-05-18
"
Uniqlo Men's Linen Button-Up Shirt",45,3,10,August,Uniqlo Outlet,39,15,8,,7,Shirts,2023-04-15,2023-05-15
"
J.Crew Men's Classic Fit Oxford Shirt",60,5,7,September,J.Crew Store,59,25,12,Christmas LastDay,3,Shirts,2023-04-20,2023-05-20
"
Topman Men's Floral Print Shirt",55,4,9,October,Topman Outlet,49,20,10,,5,Shirts,2023-04-18,2023-05-18
"
Forever 21 Men's Graphic Print T-Shirt",50,5,8,July,Forever 21 Store,19,20,10,,7,Shirts,2023-04-15,2023-05-15
"
Zalando Men's Slim Fit Chambray Shirt",40,3,10,August,Zalando Outlet,39,15,8,,5,Shirts,2023-04-18,2023-05-18
"
Mango Men's Linen-Blend Shirt",55,4,9,October,Mango Outlet,49,20,10,,7,Shirts,2023-04-20,2023-05-20
"
Urban Outfitters Men's Oversized Flannel Shirt",50,5,8,July,Urban Outfitters Store,59,20,10,Republic Day,3,Shirts,2023-04-18,2023-05-18
"
ASOS Men's Slim Fit Striped Shirt",45,3,10,August,ASOS Outlet,39,15,8,,5,Shirts,2023-04-15,2023-05-15
"
Macy's Men's Classic Fit Dress Shirt",60,5,7,September,Macy's Store,69,25,12,,7,Shirts,2023-04-20,2023-05-20
"
Target Men's Button-Down Shirt",55,4,9,October,Target Outlet,29,20,10,,3,Shirts,2023-04-15,2023-05-15
"
Old Navy Men's Slim-Fit Flannel Shirt",50,5,8,July,Old Navy Store,39,20,10,,5,Shirts,2023-04-18,2023-05-18
"
Express Men's Printed Short Sleeve Shirt",45,3,10,August,Express Outlet,49,15,8,,7,Shirts,2023-04-15,2023-05-15
"
Gap Men's Linen-Blend Shirt",60,5,7,September,Gap Outlet,49,25,12,,7,Shirts,2023-04-20,2023-05-20
"
Lacoste Men's Piqué Polo Shirt",50,5,8,July,Lacoste Store,89,20,10,Independence Day,7,Shirts,2023-04-18,2023-05-18
"
Polo Ralph Lauren Men's Oxford Shirt",45,3,10,August,Polo Ralph Lauren Outlet,99,15,8,Republic Day,5,Shirts,2023-04-15,2023-05-15
"
Tommy Bahama Men's Floral Print Shirt",60,5,7,September,Tommy Bahama Store,79,25,12,Holi_Day,7,Shirts,2023-04-20,2023-05-20
"
GAP Men's Essential Crewneck T-Shirt",55,4,9,October,GAP Store,19,20,10,,3,Shirts,2023-04-15,2023-05-15
"
Banana Republic Men's Linen Shirt",50,5,8,July,Banana Republic Outlet,69,20,10,,5,Shirts,2023-04-18,2023-05-18
"
H&M Men's Printed Short Sleeve Shirt",45,3,10,August,H&M Store,29,15,8,GudiPadwa,7,Shirts,2023-04-15,2023-05-15
"
Uniqlo Men's Flannel Button-Up Shirt",60,5,7,September,Uniqlo Outlet,39,25,12,NewYearPeriod,5,Shirts,2023-04-20,2023-05-20
"
J.Crew Men's Slim Fit Chambray Shirt",55,4,9,October,J.Crew Store,59,20,10,Republic Day,7,Shirts,2023-04-18,2023-05-18
"
Zara Men's Oversized Shirt",50,5,8,July,Zara Store,39,20,10,Holi_Day,3,Shirts,2023-04-15,2023-05-15
"
Mango Men's Slim Fit Denim Shirt",45,3,10,August,Mango Outlet,49,15,8,GudiPadwa,5,Shirts,2023-04-15,2023-05-15
"
Urban Outfitters Men's Classic Fit Oxford Shirt",60,5,7,September,Urban Outfitters Store,59,25,12,,7,Shirts,2023-04-20,2023-05-20
"
ASOS Men's Printed Button-Up Shirt",55,4,9,October,ASOS Outlet,39,20,10,Independence Day,3,Shirts,2023-04-15,2023-05-15
"
Macy's Men's Slim-Fit Dress Shirt",50,5,8,July,Macy's Store,69,20,10,,5,Shirts,2023-04-18,2023-05-18
"
Target Men's Plaid Flannel Shirt",45,3,10,August,Target Outlet,29,15,8,Dushhera,7,Shirts,2023-04-15,2023-05-15
"
Levi's 501 Original Fit Jeans",50,5,8,July,Levi's Store,79,20,10,,5,Men's Fashion,2023-04-18,2023-04-20
"
Ray-Ban Classic Aviator Sunglasses",45,3,10,August,Ray-Ban Store,149,15,8,,7,Men's Fashion,2023-04-15,2023-04-17
"
Ralph Lauren Polo Shirt",55,4,9,October,Ralph Lauren Outlet,59,20,10,Dhanteras,5,Men's Fashion,2023-04-18,2023-05-18
"
Timberland Classic Boots",50,5,8,July,Timberland Store,129,20,10,,3,Men's Fashion,2023-04-15,2023-05-15
"
Calvin Klein Boxer Briefs",45,3,10,August,Calvin Klein Outlet,29,15,8,,7,Men's Fashion,2023-04-15,2023-05-15
"
Hugo Boss Dress Shirt",60,5,7,September,Hugo Boss Store,99,25,12,NewYearPeriod,7,Men's Fashion,2023-04-20,2023-05-20
"
Tommy Hilfiger Denim Jacket",55,4,9,October,Tommy Hilfiger Outlet,119,20,10,Ganesh Chaturthi,5,Men's Fashion,2023-04-18,2023-05-18
"
Puma Essential Sweatpants",50,5,8,July,Puma Store,49,20,10,Diwali,3,Men's Fashion,2023-04-15,2023-05-15
"
New Balance Running Shoes",45,3,10,August,New Balance Outlet,79,15,8,Christmas,5,Men's Fashion,2023-04-15,2023-05-15
"
Gucci Leather Belt",60,5,7,September,Gucci Store,199,25,12,,7,Men's Fashion,2023-04-20,2023-05-20
"
Under Armour Performance Polo",55,4,9,October,Under Armour Store,69,20,10,GudiPadwa,3,Men's Fashion,2023-04-18,2023-05-18
"
Columbia Fleece Jacket",50,5,8,July,Columbia Outlet,89,20,10,Raksha Bandhan,5,Men's Fashion,2023-04-18,2023-05-18
"
Nautica Polo Shirt",60,5,7,September,Nautica Outlet,49,25,12,,7,Men's Fashion,2023-04-20,2023-05-20
"
Armani Exchange Leather Jacket",50,5,8,July,Armani Exchange Store,299,20,10,Christmas LastDay,5,Men's Fashion,2023-04-18,2023-05-18
"
H&M Slim Fit Chinos",45,3,10,August,H&M Store,39,15,8,,7,Men's Fashion,2023-04-15,2023-05-15
"
Nike Air Max Sneakers",60,5,7,September,Nike Store,129,25,12,,7,Men's Fashion,2023-04-20,2023-05-20
"
Zara Basic T-Shirt",55,4,9,October,Zara Store,19,20,10,,5,Men's Fashion,2023-04-18,2023-05-18
"
Tom Ford Aviator Sunglasses",50,5,8,July,Tom Ford Store,349,20,10,,3,Men's Fashion,2023-04-15,2023-05-15
"
GAP Classic Polo Shirt",45,3,10,August,GAP Store,29,15,8,Diwali,7,Men's Fashion,2023-04-15,2023-05-15
"
Diesel Slim Fit Jeans",60,5,7,September,Diesel Store,159,25,12,,7,Men's Fashion,2023-04-20,2023-05-20
"
Polo Ralph Lauren Hoodie",55,4,9,October,Polo Ralph Lauren Outlet,89,20,10,Ganesh Chaturthi,5,Men's Fashion,2023-04-18,2023-05-18
"
Lacoste Pique Polo Shirt",50,5,8,July,Lacoste Store,89,20,10,Christmas LastDay,3,Men's Fashion,2023-04-15,2023-05-15
"
Converse Chuck Taylor Sneakers",45,3,10,August,Converse Store,59,15,8,,5,Men's Fashion,2023-04-15,2023-05-15
"
Burberry Check Shirt",60,5,7,September,Burberry Store,249,25,12,,7,Men's Fashion,2023-04-20,2023-05-20
"
Ted Baker Dress Shoes",55,4,9,October,Ted Baker Store,199,20,10,,3,Men's Fashion,2023-04-18,2023-05-18
"
Ralph Lauren Cable Knit Sweater",50,5,8,July,Ralph Lauren Outlet,119,20,10,,5,Men's Fashion,2023-04-18,2023-05-18
"
Dockers Classic Khaki Pants",45,3,10,August,Dockers Store,59,15,8,Christmas LastDay,7,Men's Fashion,2023-04-15,2023-05-15
"
Salvatore Ferragamo Belt",60,5,7,September,Ferragamo Store,349,25,12,Ganesh Chaturthi,7,Men's Fashion,2023-04-20,2023-05-20
"
Hugo Boss Suit",50,5,8,July,Hugo Boss Store,699,20,10,,5,Men's Fashion,2023-04-18,2023-05-18
"
Gucci Loafers",45,3,10,August,Gucci Store,599,15,8,,7,Men's Fashion,2023-04-15,2023-05-15
"
Versace Silk Tie",60,5,7,September,Versace Store,249,25,12,,7,Men's Fashion,2023-04-20,2023-05-20
"
Prada Leather Wallet",55,4,9,October,Prada Store,299,20,10,GudiPadwa,5,Men's Fashion,2023-04-18,2023-05-18
"
Calvin Klein Dress Shirt",50,5,8,July,Calvin Klein Outlet,79,20,10,Diwali,3,Men's Fashion,2023-04-15,2023-05-15
"
Tommy Hilfiger Sweater",45,3,10,August,Tommy Hilfiger Outlet,89,15,8,,5,Men's Fashion,2023-04-15,2023-05-15
"
Under Armour Training Shorts",60,5,7,September,Under Armour Store,49,25,12,Ganesh Chaturthi,7,Men's Fashion,2023-04-20,2023-05-20
"
Ralph Lauren Oxford Shirt",55,4,9,October,Ralph Lauren Outlet,69,20,10,Christmas LastDay,3,Men's Fashion,2023-04-18,2023-05-18
"
Puma Track Jacket",50,5,8,July,Puma Store,59,20,10,GudiPadwa,5,Men's Fashion,2023-04-18,2023-05-18
"
New Balance Walking Shoes",45,3,10,August,New Balance Outlet,79,15,8,,7,Men's Fashion,2023-04-15,2023-05-15
"
Lacoste Polo Sweater",60,5,7,September,Lacoste Store,119,25,12,Raksha Bandhan,7,Men's Fashion,2023-04-20,2023-05-20
"
Levi's Trucker Jacket",55,4,9,October,Levi's Store,99,20,10,,5,Men's Fashion,2023-04-18,2023-05-18
"
Nike Tech Fleece Pants",50,5,8,July,Nike Store,79,20,10,Dhanteras,3,Men's Fashion,2023-04-15,2023-05-15
"
Armani Exchange Graphic T-Shirt",45,3,10,August,Armani Exchange Store,49,15,8,Independence Day,5,Men's Fashion,2023-04-15,2023-05-15
"
Zara Leather Belt",60,5,7,September,Zara Store,39,25,12,,7,Men's Fashion,2023-04-20,2023-05-20
"
H&M Plaid Flannel Shirt",50,5,8,July,H&M Store,29,20,10,Ganesh Chaturthi,5,Men's Fashion,2023-04-18,2023-05-18
"
Adidas Track Pants",45,3,10,August,Adidas Store,49,15,8,,7,Men's Fashion,2023-04-15,2023-05-15
"
Zara Linen Blazer",60,5,7,September,Zara Store,89,25,12,Holi_Day,7,Men's Fashion,2023-04-20,2023-05-20
"
Polo Ralph Lauren Oxford Shoes",55,4,9,October,Polo Ralph Lauren Outlet,149,20,10,,5,Men's Fashion,2023-04-18,2023-05-18
"
GAP Classic V-Neck Sweater",50,5,8,July,GAP Store,39,20,10,Independence Day,3,Men's Fashion,2023-04-15,2023-05-15
"
Nike Dri-FIT Polo Shirt",45,3,10,August,Nike Store,59,15,8,GudiPadwa,5,Men's Fashion,2023-04-15,2023-05-15
"
Tom Ford Leather Jacket",60,5,7,September,Tom Ford Store,899,25,12,,7,Men's Fashion,2023-04-20,2023-05-20
"
Gucci Silk Scarf",55,4,9,October,Gucci Store,399,20,10,,3,Men's Fashion,2023-04-18,2023-05-18
"
Versace Medusa Belt",50,5,8,July,Versace Store,499,20,10,,5,Men's Fashion,2023-04-18,2023-05-18
"
Prada Loafers",45,3,10,August,Prada Store,699,15,8,Holi_Day,7,Men's Fashion,2023-04-15,2023-05-15
"
Tommy Hilfiger Button-Up Shirt",55,4,9,October,Tommy Hilfiger Outlet,79,20,10,,5,Men's Fashion,2023-04-18,2023-05-18
"
Under Armour Hoodie",50,5,8,July,Under Armour Store,69,20,10,Dushhera,3,Men's Fashion,2023-04-15,2023-05-15
"
Ralph Lauren Polo Cap",45,3,10,August,Ralph Lauren Outlet,49,15,8,,5,Men's Fashion,2023-04-15,2023-05-15
"
Puma Running Shoes",60,5,7,September,Puma Store,79,25,12,,7,Men's Fashion,2023-04-20,2023-05-20
"
Levi's Denim Jacket",50,5,8,July,Levi's Store,99,20,10,Ganesh Chaturthi,5,Men's Fashion,2023-04-18,2023-05-18
"
Hugo Boss Dress Pants",45,3,10,August,Hugo Boss Store,149,15,8,,7,Men's Fashion,2023-04-15,2023-05-15
"
Gucci Belt",60,5,7,September,Gucci Store,399,25,12,Christmas LastDay,7,Men's Fashion,2023-04-20,2023-05-20
"
Prada Sunglasses",55,4,9,October,Prada Store,299,20,10,GudiPadwa,5,Men's Fashion,2023-04-18,2023-05-18
"
Calvin Klein Leather Jacket",50,5,8,July,Calvin Klein Outlet,199,20,10,,3,Men's Fashion,2023-04-15,2023-05-15
"
Tommy Hilfiger Chinos",45,3,10,August,Tommy Hilfiger Outlet,79,15,8,Dhanteras,5,Men's Fashion,2023-04-15,2023-05-15
"
Under Armour Compression Shirt",60,5,7,September,Under Armour Store,39,25,12,Republic Day,7,Men's Fashion,2023-04-20,2023-05-20
"
Ralph Lauren Varsity Jacket",55,4,9,October,Ralph Lauren Outlet,129,20,10,,5,Men's Fashion,2023-04-18,2023-05-18
"
Puma Basketball Shorts",50,5,8,July,Puma Store,49,20,10,,3,Men's Fashion,2023-04-15,2023-05-15
"
New Balance Running Tights",45,3,10,August,New Balance Outlet,59,15,8,,5,Men's Fashion,2023-04-15,2023-05-15
"
Lacoste Leather Sneakers",60,5,7,September,Lacoste Store,169,25,12,Independence Day,7,Men's Fashion,2023-04-20,2023-05-20
"
Armani Exchange Watch",55,4,9,October,Armani Exchange Store,249,20,10,,5,Men's Fashion,2023-04-18,2023-05-18
"
Zara Linen Shirt",50,5,8,July,Zara Store,59,20,10,Ganesh Chaturthi,3,Men's Fashion,2023-04-15,2023-05-15
"
H&M Slim Fit Shirt",50,5,8,July,H&M Store,29,20,10,Holi_Day,5,Men's Fashion,2023-04-18,2023-05-18
"
Burberry Polo Shirt",60,5,7,September,Burberry Store,149,25,12,GudiPadwa,7,Men's Fashion,2023-04-20,2023-05-20
"
GAP Denim Shorts",55,4,9,October,GAP Store,49,20,10,,5,Men's Fashion,2023-04-18,2023-05-18
"
Louis Vuitton Wallet",50,5,8,July,Louis Vuitton Store,299,20,10,Dhanteras,3,Men's Fashion,2023-04-15,2023-05-15
"
Polo Ralph Lauren Sweater",45,3,10,August,Polo Ralph Lauren Store,129,15,8,Republic Day,5,Men's Fashion,2023-04-15,2023-05-15
"
Boss Hugo Boss Suit",55,4,9,October,Boss Hugo Boss Store,499,20,10,,5,Men's Fashion,2023-04-18,2023-05-18
"
Uniqlo V-Neck Sweater",50,5,8,July,Uniqlo Store,39,20,10,,3,Men's Fashion,2023-04-15,2023-05-15
"
Oakley Sunglasses",45,3,10,August,Oakley Store,129,15,8,Independence Day,5,Men's Fashion,2023-04-15,2023-05-15
"
Tom Ford Dress Shirt",60,5,7,September,Tom Ford Store,299,25,12,,7,Men's Fashion,2023-04-20,2023-05-20
"
Zegna Silk Pocket Square",50,5,8,July,Zegna Store,79,20,10,,3,Men's Fashion,2023-04-15,2023-05-15
"
Fendi Belt",45,3,10,August,Fendi Store,399,15,8,,5,Men's Fashion,2023-04-15,2023-05-15
"
Zara Floral Dress",40,4,8,July,Zara Store,59,15,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
H&M Ruffle Blouse",35,3,9,August,H&M Store,29,10,5,,3,Women's Fashion,2023-04-15,2023-05-15
"
Forever 21 Denim Jacket",50,5,7,September,Forever 21 Store,39,20,10,Diwali,7,Women's Fashion,2023-04-20,2023-05-20
"
Mango High Waisted Shorts",45,4,8,October,Mango Store,49,15,5,Holi_Day,5,Women's Fashion,2023-04-16,2023-05-16
"
Victoria's Secret Lingerie Set",30,3,9,November,Victoria's Secret Store,69,10,5,GudiPadwa,7,Women's Fashion,2023-04-15,2023-05-15
"
Zalando Maxi Skirt",40,4,8,July,Zalando Store,39,15,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
ASOS Wide Leg Trousers",35,3,9,August,ASOS Store,49,10,5,Independence Day,3,Women's Fashion,2023-04-15,2023-05-15
"
Topshop Crop Top",50,5,7,September,Topshop Store,29,20,10,Dhanteras,7,Women's Fashion,2023-04-20,2023-05-20
"
Free People Boho Dress",45,4,8,October,Free People Store,79,15,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
Urban Outfitters Graphic Tee",30,3,9,November,Urban Outfitters Store,29,10,5,,7,Women's Fashion,2023-04-15,2023-05-15
"
Zara Skinny Jeans",40,4,8,July,Zara Store,49,15,5,Christmas LastDay,5,Women's Fashion,2023-04-16,2023-05-16
"
H&M Maxi Dress",35,3,9,August,H&M Store,39,10,5,Ganesh Chaturthi,3,Women's Fashion,2023-04-15,2023-05-15
"
Forever 21 Floral Romper",50,5,7,September,Forever 21 Store,39,20,10,,7,Women's Fashion,2023-04-20,2023-05-20
"
Mango Blazer",45,4,8,October,Mango Store,69,15,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
Victoria's Secret Pajama Set",30,3,9,November,Victoria's Secret Store,59,10,5,,7,Women's Fashion,2023-04-15,2023-05-15
"
H&M Lace Midi Dress",30,4,6,July,H&M Store,49,10,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
Forever 21 Floral Skirt",40,3,8,August,Forever 21 Store,29,15,5,Republic Day,3,Women's Fashion,2023-04-15,2023-05-15
"
Mango Striped Blouse",35,5,7,September,Mango Store,39,20,10,Holi_Day,7,Women's Fashion,2023-04-20,2023-05-20
"
Zara Wide Leg Jumpsuit",50,4,8,October,Zara Store,59,15,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
ASOS Off-Shoulder Top",45,3,9,November,ASOS Store,49,10,5,GudiPadwa,7,Women's Fashion,2023-04-15,2023-05-15
"
Free People Boho Kimono",30,5,7,December,Free People Store,79,20,10,,7,Women's Fashion,2023-04-20,2023-05-20
"
Urban Outfitters Mom Jeans",40,4,8,January,Urban Outfitters Store,69,15,5,,5,Women's Fashion,2023-04-16,2023-05-16
"
Zalando Pleated Skirt",35,3,9,February,Zalando Store,39,10,5,Dhanteras,3,Women's Fashion,2023-04-15,2023-05-15
"
Topshop Wrap Blouse",50,5,7,March,Topshop Store,29,20,10,,7,Women's Fashion,2023-04-20,2023-05-20
